date,ndvi_mean,ndvi_min,ndvi_max,ndre_mean,ndre_min,ndre_max,msavi_mean,msavi_min,msavi_max,reci_mean,reci_min,reci_max,evi_mean,evi_min,evi_max,cab_mean,cab_min,cab_max
9/8/2021,0.37437734,0.256994814,0.529387712,0.291466483,0.211782634,0.420180708,0.874296254,0.756929453,1.029282497,1.215397883,0.691771269,2.249782801,-2.545625144,-54.9726776,23.54097865,428.7604072,-2316.767053,6443.633827
9/13/2021,0.417477606,0.301665038,0.638585567,0.317189074,0.230413169,0.474623621,0.917371222,0.801566899,1.138471551,1.47917495,0.86395514,3.533813715,2.431376778,1.168880455,6.309994353,504.3475105,249.7653539,1347.827227
9/18/2021,0.298407385,0.22975789,0.411470234,0.242998711,0.19127126,0.329847217,0.798330352,0.729699399,0.911371049,0.856642038,0.596586168,1.39829886,0.01931595,-379.4273399,76.45238095,5540.093055,-2245.01143,522376.0994
9/23/2021,0.089898579,0.049324203,0.272467494,0.087952799,0.04926284,0.205608726,0.589859178,0.549292063,0.772357128,0.200766504,0.10376662,0.749018073,0.57295432,-4.038756666,32.79990842,324.7053516,-664.6111012,10299.0729
9/28/2021,0.364182334,0.296950936,0.466164052,0.284204336,0.230936825,0.360890299,0.864090757,0.796862918,0.966077358,1.16069147,0.844751716,1.746469378,13.08268466,-19.8490566,94.95833333,3551.229424,-2220.439017,50811.76529
10/3/2021,0.038565163,0.035815027,0.042351939,0.032238669,0.029429225,0.034943733,0.538542192,0.535792128,0.542328831,0.080228513,0.074290782,0.088449903,-0.278381488,-0.297319933,-0.256967065,-24.33395367,-27.81917892,-20.39075426
10/8/2021,0.125745783,0.06866996,0.18881318,0.119619152,0.071262509,0.17053397,0.625708969,0.568641291,0.688764284,0.289322619,0.147466436,0.465523273,-3.323910738,-44.67422646,29.25925926,-442.2597183,-1348.377406,8616.600667
10/13/2021,0.341602412,0.270480394,0.566960633,0.29161403,0.210377097,0.447943598,0.841428462,0.770304125,1.066746773,1.055371208,0.741530716,2.618518591,-0.954150629,-1.917383821,-0.597165992,-146.5215882,-316.173715,-82.64226703
10/18/2021,0.054322215,-0.015277457,0.207734957,0.045030438,-0.025542665,0.197518677,0.554292266,0.484700035,0.707684652,0.118434968,-0.030095134,0.524407744,-0.294109333,-2.221600688,64.75431358,-6.394005459,-368.1713755,27886.65645
10/23/2021,0.343955051,0.289889425,0.612142503,0.288629708,0.246647209,0.532919824,0.843805045,0.789733465,1.112002986,1.064892224,0.816462755,3.156533003,-1.090279577,-3.79985755,-0.650885054,-170.3986259,-627.0233822,-92.39437919
10/28/2021,-0.00206017,-0.013480837,0.030500581,0.01259786,-0.000826574,0.051092412,0.497924271,0.486504458,0.530482936,-0.003987488,-0.026603036,0.062920272,0.044250683,-0.220369149,0.308516183,35.47514593,-13.64322485,84.96515827
11/2/2021,0.116521543,0.075625956,0.146265626,0.113464795,0.059365276,0.147649303,0.616482511,0.575589193,0.646224624,0.264329481,0.163626313,0.342649043,-0.734970245,-1.493440969,-0.557625362,-107.5400738,-242.5783163,-75.45055373
11/12/2021,0.051589092,0.023962777,0.149512455,0.064072477,0.040422346,0.138778582,0.551565848,0.523942461,0.649477276,0.109699983,0.049102176,0.351592362,-0.482093119,-1.556508008,-0.257939466,-61.54766609,-253.610166,-20.56990101
11/17/2021,-0.04189366,-0.044946831,-0.03945554,-0.002996162,-0.006137251,-0.000509141,0.458096126,0.455043002,0.460534217,-0.080415163,-0.086027019,-0.075915784,0.347682571,0.315310481,0.396082785,92.35023476,86.24529031,101.4897892
11/22/2021,0.403592109,0.236476645,0.676848531,0.305430416,0.176029935,0.518504381,0.903435971,0.736324045,1.176724592,1.39744308,0.61943537,4.18904829,-3.042078101,-64.11673601,37.05714286,528.2395347,-1511.571009,11966.85085
11/27/2021,0.002928344,0.000516011,0.00533592,-0.000265425,-0.003257329,0.001995767,0.502913096,0.500500819,0.5053206,0.005876567,0.001032556,0.01072909,-0.023961376,-0.042639791,-0.004212951,22.73668335,19.26447313,26.40994256
12/2/2021,0.024239734,-0.013567105,0.066690505,0.042864359,-0.002690583,0.104712531,0.524225015,0.486420204,0.56667362,0.050371088,-0.026771005,0.142911881,-0.252487563,-1.520467836,0.278106509,-19.52001808,-247.3095026,79.23974399
12/7/2021,0.012972794,-0.025072323,0.053992268,0.022199206,-0.022637557,0.067975067,0.512951687,0.474908594,0.553969242,0.026848969,-0.048918158,0.114147626,-0.065988458,-0.909620991,0.983086681,15.09581054,-139.0682273,213.7168982
12/17/2021,0.458930126,0.297460705,0.515069962,0.327748715,0.214144275,0.370572567,0.958789012,0.797340184,1.014933405,1.715066683,0.846815825,2.12430644,-7.330090747,-19.7261681,36.89440727,-944.8370405,-2215.094142,11892.47777
12/22/2021,0.434662267,0.221832365,0.505129397,0.321345622,0.165569603,0.382365346,0.934518822,0.721691678,1.004975494,1.573823059,0.570140302,2.041460514,-11.83669239,-318.6111111,35.6122449,712.8691825,-2233.918172,313482.5401
12/27/2021,0.337782518,0.129791528,0.417945683,0.246044935,0.089659587,0.300943404,0.837535113,0.629579832,0.91767483,1.039566706,0.298299849,1.43610549,-0.626556468,-1.130630631,-0.242523247,-87.86935119,-178.5472225,-17.72893383
1/1/2022,0.455446844,0.175036922,0.545193255,0.338823068,0.125176802,0.40313226,0.955299417,0.674912313,1.045026345,1.738541404,0.424350947,2.397471905,-4.24174079,-89.26895819,300.2173913,7473.789579,-2272.17364,386863.3854
1/6/2022,0.122068656,0.07239306,0.211818874,0.098548998,0.034670684,0.172017112,0.62200259,0.572343199,0.711682333,0.282428821,0.156085655,0.537487805,-0.75839391,-1.593177254,-0.355739199,-111.4715959,-260.0109797,-38.55219786
1/11/2022,0.069749339,-0.098951064,0.196721315,0.044946813,-0.126156062,0.255841136,0.569720141,0.401028217,0.696682727,0.162342517,-0.180082738,0.489795923,-0.740065769,-8.257065949,3.868080518,-95.44238301,-1259.273833,802.0806246
1/16/2022,0.036834531,0.012677615,0.073219262,0.027775355,0.000840901,0.068330362,0.536809735,0.512655805,0.573190749,0.076920577,0.025680799,0.158007726,-2.926840729,-197.3076923,3.813793103,372.5897276,-1739.025754,106256.0467
1/21/2022,0.375030126,0.135722041,0.520806253,0.270801713,0.090719499,0.36444512,0.874895703,0.63560702,1.020640338,1.263733619,0.314070344,2.173676968,-125.5396378,-2853.125,300.4166667,1605427.207,-1948.061456,32687335.63
1/26/2022,0.210576252,0.082109086,0.275913507,0.159721584,0.066921182,0.203763977,0.710511138,0.582042803,0.775841178,0.539966839,0.178908184,0.762100935,-11.9682627,-98.57142857,9.608890572,-110.7195515,-2331.102046,17359.23359
1/31/2022,0.198968562,0.122730188,0.244119748,0.155994737,0.090586774,0.186952785,0.698907353,0.622673367,0.744053452,0.499865935,0.279800355,0.645921707,-3.162928255,-12.28299711,-1.572915883,-518.6354773,-1704.934381,-256.4754082
2/5/2022,0.204427232,0.10148491,0.264695406,0.153224452,0.074354246,0.195990905,0.704365379,0.601428023,0.764627304,0.518855936,0.225894734,0.719961226,-6.835978567,-117.1428571,166.3636364,2999.290252,-1779.547817,132620.5548
2/10/2022,0.205678376,0.074955024,0.302265137,0.15654283,0.049920101,0.226223782,0.705614193,0.574897572,0.802190662,0.529665158,0.162057042,0.866418302,-12.330248,-230.1515152,14.43548387,7800.708211,-2330.653321,151695.7453
2/15/2022,0.192028829,0.08772628,0.262307405,0.144678355,0.059689924,0.192133144,0.691964937,0.587667827,0.762235791,0.481494308,0.19232446,0.711156368,-0.785776884,-161.0344828,56.34365634,7937.549499,-2318.554688,65277.82223
2/20/2022,0.171795157,0.095632099,0.22457163,0.137677474,0.071912654,0.174680889,0.671734482,0.595574796,0.724505605,0.417959516,0.211489365,0.57921958,-2.366678874,-4.922135706,-1.301728654,-391.0803944,-799.960656,-208.8641457
2/25/2022,0.211182555,0.078123197,0.311372846,0.155801352,0.060124122,0.233832583,0.711118803,0.578056882,0.811298188,0.549493925,0.169487312,0.90432924,0.591710834,-28.2,14.84641153,392.8301283,-2301.32512,3599.807062
3/2/2022,0.205788343,0.07562688,0.306839198,0.153519165,0.051166438,0.226202846,0.705725254,0.575569151,0.806764624,0.528605138,0.163628474,0.885333359,4.984455583,0.521871539,27.58333333,1229.528721,125.3258435,7954.890167
3/7/2022,0.196254905,0.078381047,0.266702294,0.14449085,0.049980778,0.196667582,0.696193951,0.578323956,0.766634007,0.494010792,0.170094252,0.72740525,2.744170271,0.592183771,7.388943731,577.5309725,138.7001307,1602.917295
3/12/2022,0.190026427,0.081907682,0.253653437,0.14874944,0.058177825,0.194826722,0.689967574,0.581852074,0.753587892,0.47363315,0.1784302,0.679720283,5.108585568,0.974889217,31.28755365,1231.306017,212.1322327,9445.057301
3/17/2022,0.175936218,0.07974264,0.231066599,0.136609649,0.055862725,0.179262757,0.675877287,0.579686129,0.731002372,0.430268262,0.173305079,0.601005495,-14.92289865,-423.5714286,57.92079208,30335.22279,-2295.549045,579994.8693
3/22/2022,0.141523417,0.063801207,0.180333227,0.121571418,0.054769434,0.15412873,0.641470762,0.563753882,0.680277664,0.331189818,0.136298418,0.440015942,-1.043079683,-1.339816666,-0.534308211,-162.9119498,-215.583701,-71.20421104
3/27/2022,0.177905792,0.09406846,0.225415513,0.142794987,0.06985613,0.182623222,0.677848482,0.594029656,0.725352722,0.43760109,0.207672343,0.582029521,-4.759855496,-45.27173913,10.49295775,-555.6055298,-2324.859333,2384.459422
