date,NDVI_mean,NDVI_min,NDVI_max,NDSI_mean,NDSI_min,NDSI_max,EVI_mean,EVI_min,EVI_max,NDRE_mean,NDRE_min,NDRE_max,RECI_mean,RECI_min,RECI_max,CAB_mean,CAB_min,CAB_max,SAVI_mean,SAVI_min,SAVI_max,DWSI_mean,DWSI_min,DWSI_max,MSAVI_mean,MSAVI_min,MSAVI_max
2024-04-02,0.1411371854240978,-0.03502490660024907,0.7342094107672743,-0.1411371854240978,-0.7342094107672743,0.03502490660024907,-31533.253242308245,-68842.5,3342.5,0.14113223398105287,-0.0350244704300071,0.7341845126066093,1.4685092383568907,0.9323206497217627,6.524720893141946,0.5759475175957015,0.33354282636020827,1.070502931194076,0.21168257041099797,-0.05253531540646768,1.1011974144325527,0.06963382663402684,-0.17651232925314883,0.4620894047913065,6.759178406891672e-05,-1.1708444054120608e-05,0.00043331900318913157
2023-07-27,0.3696087781321614,0.05173572228443449,0.7614593077642656,-0.3696087781321614,-0.7614593077642656,-0.05173572228443449,-9599.455014253072,-30927,5809,0.36959564495907676,0.05173479534521218,0.7614403133068087,2.4598879713190493,1.1091166745394425,7.3843137254901965,0.7120940584111694,0.4491865836513356,1.0770671276289254,0.5543516104988986,0.07759923856447007,1.1420999298464416,0.18135890537287871,-0.06347746090156393,0.5249795249795249,0.0001571621674482732,2.0945624922031098e-05,0.0003816570860847528
2022-05-03,0.5474753087920958,0.26911242603550295,0.6662740478994896,-0.5474753087920958,-0.6662740478994896,-0.26911242603550295,-1743.7188260538414,-8646.5,1536.5,0.5474535279348597,0.2691022351816263,0.6662531212211631,3.479636353575043,1.73639896373057,4.992941176470588,0.8681953959575772,0.7058902275769745,0.9409104172745841,0.8211108740905882,0.4036208732694356,0.9993129845912259,0.22628723069268955,-0.06583207424994604,0.3588342440801457,0.00022728213872729073,0.00015783616286213476,0.00026517190683584456
2021-10-25,0.12827231538807302,-0.03327464788732394,0.35168682367918525,-0.12827231538807302,-0.35168682367918525,0.03327464788732394,-23392.32154581407,-45266,-8652,0.12826925100253417,-0.03327417923691216,0.3516778694368062,1.3018847056188836,0.9355937979212813,2.08492881688758,0.3590724848375268,0.14216131965190282,0.5642873484328529,0.19239410955539415,-0.04990977509792703,0.5274882647784231,0.26459289779266565,0.1350594821553534,0.4831964152352502,5.75917095769991e-05,-1.253458108177223e-05,0.0001784464572921937
2018-04-09,0.2314546405539936,0.024674081166678942,0.6688227684346701,-0.2314546405539936,-0.6688227684346701,-0.024674081166678942,-20574.551614422708,-53046.5,1457.5,0.23144695420591282,0.0246737903950458,0.6687996964313435,1.8122904846920482,1.0505965866183355,5.0390625,0.6391488106703366,0.3600173085244483,0.9959029826286463,0.3471459338653297,0.03700975879211932,1.0031260105637598,0.10225306331162784,-0.1396011396011396,0.3514627111660486,0.00010016490109534599,6.9225042032093665e-06,0.0003264779832571573
2023-05-28,0.24096547741225083,0.1339784145887607,0.3421000981354269,-0.24096547741225083,-0.3421000981354269,-0.1339784145887607,-12568.978261852182,-15974,-8814.5,0.2409582593404036,0.1339744257707251,0.3420893553882508,1.6383224730468569,1.3094112591319296,2.0399761336515514,0.40395387717572245,0.3029621793176408,0.5056163168785102,0.36141438356354544,0.20094892548144014,0.5130997939358257,0.32956336186233337,0.23441502988898377,0.3773064687168611,0.00011665838045026528,7.752558793476759e-05,0.0001490637948938287
2024-03-03,0.6394400504486608,0.18150830847890925,0.7983193277310925,-0.6394400504486608,-0.7983193277310925,-0.18150830847890925,564.1991428638316,-11990.5,5619.5,0.6394102821430638,0.18150212178536734,0.7982886611798826,4.857902322724375,1.4435190005205623,8.916666666666666,1.025784773881168,0.6836734693877551,1.1501366653650917,0.9590205507047695,0.2722334646927255,1.197335253871084,0.18033571813326482,-0.305982905982906,0.4717247879359095,0.0002753998539804009,0.00010587462552857436,0.0004989680793747965
2020-04-13,0.641453841183115,0.18241110877340627,0.8058877644894205,-0.641453841183115,-0.8058877644894205,-0.18241110877340627,677.0060757712537,-12233,5253.5,0.6414242864665209,0.18240496848412424,0.8058581100971446,4.914069711762084,1.4462171899125065,9.303317535545023,1.060797086711077,0.6777401608125264,1.1760869565217391,0.962042237770737,0.27358788261281164,1.208692652638841,0.13660238873605643,-0.34793080797022113,0.4063454759106933,0.00027375439375700424,0.00010976197667410721,0.0004212743444331911
2020-05-18,0.00876741306928678,-0.03869259091789936,0.1365956916946831,-0.00876741306928678,-0.1365956916946831,0.03869259091789936,-54501.52986245423,-65298,-23967.5,0.008767305851893814,-0.0386921910244452,0.13659297038036847,1.0184092893970456,0.925497512437811,1.316411883472743,0.30851988293432975,0.1971881759192502,0.4878132904115889,0.013150617035857102,-0.05803701191744986,0.20488078192118533,0.20009089788274184,0.09289509938988388,0.29633740288568255,2.428602710413195e-06,-1.0816975603830687e-05,5.265264648405299e-05
2018-02-23,0.6796725010252388,0.1553686293913904,0.8275862068965517,-0.6796725010252388,-0.8275862068965517,-0.1553686293913904,1373.5420504181272,-10935.5,5834.5,0.6796399516420825,0.1553624794664239,0.8275565586544146,5.605258081291011,1.3678968951376684,10.6,1.0555796366207493,0.6908035079402702,1.177231329690346,1.0193561920731118,0.23302411873840445,1.2412403447889846,0.20885158320632136,-0.3247196489517309,0.4583430030169413,0.00028718476537725095,0.0001141767792010608,0.0005570367763135
